motion,label
-84.523438 -99.375000 -110.437500 -161.054688 -156.382812 -117.109375 -88.101562 -70.023438 -115.757812 -139.523438 -178.343750 -156.148438 -109.679688 -91.007812 -69.875000 -90.140625 -141.437500 -168.304688 -176.195312 -150.609375 -137.085938 -123.726562 -126.945312 -82.031250,l
-82.937500 -84.031250 -83.898438 -139.007812 -135.867188 -120.679688 -94.664062 -77.921875 -81.687500 -84.484375 -97.445312 -116.367188 -99.000000 -84.890625 -69.296875 -57.960938 -48.585938 -46.773438 -112.539062 -119.367188 -113.320312 -97.414062 -95.632812 -78.437500,l
-85.613281 -94.738281 -90.843750 -63.257812 -100.140625 -108.714844 -94.542969 -110.312500 -77.421875 -85.472656 -46.890625 -62.312500 -113.953125 -120.035156 -110.070312 -96.921875 -90.207031 -120.847656 -96.500000 -70.621094 -124.250000 -117.222656 -73.582031 -116.496094,l
-107.062500 -97.976562 -101.031250 -103.273438 -86.218750 -72.835938 -108.523438 -97.968750 -104.468750 -107.140625 -111.023438 -104.687500 -79.000000 -123.718750 -123.789062 -85.859375 -144.695312 -126.507812 -116.742188 -100.992188 -96.398438 -105.476562 -103.468750 -112.007812,l
-109.398438 -83.554688 -84.601562 -91.007812 -94.945312 -84.726562 -65.062500 -121.328125 -91.703125 -87.664062 -93.898438 -95.031250 -100.179688 -102.375000 -121.507812 -122.656250 -105.140625 -108.351562 -101.546875 -105.367188 -115.187500 -105.937500 -121.000000 -139.500000,l
-127.351562 -105.570312 -131.218750 -107.546875 -104.742188 -82.164062 -34.726562 -53.625000 -128.234375 -111.335938 -104.992188 -119.757812 -95.671875 -60.781250 -37.601562 -37.359375 -142.968750 -136.328125 -132.906250 -108.140625 -85.062500 -65.343750 -54.937500 -86.898438,l
-88.476562 -91.890625 -143.031250 -133.609375 -95.398438 -102.617188 -91.281250 -91.921875 -76.507812 -161.039062 -114.390625 -93.632812 -107.093750 -93.460938 -85.250000 -82.976562 -134.023438 -135.296875 -119.867188 -126.195312 -125.210938 -116.992188 -99.164062 -91.546875,l
-62.414062 -60.367188 -90.179688 -79.148438 -117.523438 -116.726562 -114.242188 -119.132812 -101.539062 -66.117188 -61.421875 -100.828125 -117.000000 -127.796875 -124.992188 -135.125000 -90.937500 -70.031250 -101.148438 -132.156250 -153.421875 -159.796875 -160.695312 -127.070312,l
-125.773438 -75.953125 -81.851562 -87.031250 -121.773438 -145.273438 -115.578125 -113.242188 -149.296875 -104.093750 -95.625000 -76.304688 -74.093750 -123.921875 -127.046875 -111.210938 -137.546875 -148.984375 -123.476562 -125.726562 -117.640625 -113.273438 -137.093750 -132.750000,l
-114.339844 -72.605469 -92.636719 -75.339844 -71.394531 -105.292969 -106.062500 -114.410156 -93.488281 -77.585938 -92.613281 -91.996094 -126.382812 -109.082031 -92.859375 -79.832031 -119.503906 -109.363281 -84.777344 -99.062500 -84.289062 -104.316406 -112.414062 -108.652344,l
-104.843750 -58.046875 -78.062500 -93.875000 -126.562500 -143.132812 -138.320312 -137.312500 -77.046875 -77.843750 -111.671875 -147.734375 -161.164062 -133.046875 -130.742188 -126.085938 -111.265625 -126.164062 -153.382812 -181.023438 -132.359375 -116.492188 -105.460938 -112.429688,l
-126.820312 -86.875000 -102.367188 -98.960938 -115.617188 -105.773438 -97.476562 -123.750000 -73.101562 -57.421875 -107.804688 -108.671875 -118.289062 -121.828125 -115.437500 -99.882812 -117.085938 -116.929688 -113.796875 -100.234375 -105.429688 -142.992188 -111.906250 -85.632812,l
-138.398438 -153.187500 -112.656250 -81.593750 -54.960938 -37.593750 -8.570312 -60.250000 -106.398438 -92.343750 -102.351562 -84.695312 -64.804688 -63.445312 -85.117188 -81.914062 -119.265625 -114.546875 -118.593750 -76.812500 -66.078125 -75.039062 -110.398438 -110.085938,l
-77.882812 -102.238281 -103.750000 -112.703125 -86.097656 -56.855469 -29.574219 -23.992188 -90.402344 -90.277344 -100.964844 -110.351562 -75.253906 -47.285156 -52.773438 -70.144531 -110.492188 -102.074219 -123.945312 -79.937500 -77.488281 -61.160156 -48.769531 -108.226562,l
-43.562500 -88.484375 -148.812500 -119.992188 -106.281250 -121.617188 -66.976562 -127.648438 -97.273438 -111.085938 -110.132812 -142.406250 -139.210938 -104.265625 -114.562500 -141.695312 -120.046875 -107.203125 -141.500000 -135.593750 -77.203125 -105.585938 -156.453125 -142.890625,l
-140.226562 -82.437500 -134.039062 -143.179688 -114.046875 -113.250000 -113.046875 -131.429688 -121.695312 -89.929688 -59.109375 -81.523438 -102.687500 -98.218750 -128.453125 -135.992188 -105.484375 -64.000000 -82.406250 -117.828125 -150.210938 -169.882812 -155.726562 -131.648438,l
-141.796875 -132.148438 -117.289062 -98.523438 -141.703125 -142.328125 -115.914062 -96.593750 -138.328125 -99.859375 -116.500000 -138.367188 -144.882812 -129.148438 -128.171875 -137.632812 -164.250000 -150.632812 -137.234375 -117.250000 -130.398438 -142.929688 -129.773438 -100.289062,l
-124.039062 -137.226562 -81.843750 -74.375000 -82.781250 -60.789062 -44.289062 -73.015625 -119.031250 -97.460938 -92.960938 -77.390625 -52.414062 -57.375000 -90.640625 -95.718750 -106.890625 -115.250000 -79.054688 -46.710938 -68.062500 -60.531250 -54.726562 -110.601562,l
-88.367188 -108.812500 -112.398438 -102.906250 -117.179688 -107.992188 -89.179688 -84.039062 -89.968750 -107.507812 -91.640625 -109.148438 -130.937500 -115.187500 -106.296875 -115.632812 -115.906250 -92.617188 -115.445312 -145.210938 -137.031250 -120.078125 -113.492188 -118.820312,l
-76.640625 -91.226562 -124.210938 -139.773438 -127.664062 -106.648438 -90.632812 -98.359375 -133.554688 -134.273438 -114.992188 -99.859375 -96.859375 -84.968750 -62.664062 -89.140625 -142.445312 -143.000000 -123.289062 -122.851562 -125.375000 -96.632812 -84.679688 -99.703125,l
-90.507812 -90.703125 -116.710938 -124.320312 -116.375000 -104.703125 -101.648438 -105.046875 -109.234375 -123.968750 -134.539062 -90.156250 -76.031250 -94.187500 -104.460938 -74.929688 -83.304688 -102.351562 -154.414062 -153.250000 -93.625000 -95.156250 -98.101562 -86.906250,l
-74.679688 -63.062500 -74.609375 -127.992188 -97.367188 -77.031250 -146.367188 -131.703125 -97.304688 -107.281250 -118.523438 -53.289062 -66.195312 -100.187500 -106.984375 -71.187500 -108.828125 -109.796875 -81.960938 -103.710938 -137.062500 -139.945312 -121.453125 -115.109375,l
