motion,label
-0.070312 1.406250 -2.070312 -59.179688 -96.031250 -49.882812 -90.265625 -126.062500 0.023438 -0.226562 4.132812 -36.109375 -62.273438 -84.906250 -116.359375 -78.906250 -0.343750 2.546875 -7.375000 -60.820312 -75.875000 -77.007812 -101.179688 -149.257812,l
-0.039062 1.171875 -3.453125 -30.367188 -66.812500 -122.843750 -111.968750 -102.140625 -0.132812 0.531250 1.617188 -55.929688 -111.710938 -101.398438 -60.757812 -72.000000 -0.226562 1.640625 -3.281250 -57.640625 -90.742188 -135.648438 -123.632812 -120.531250,l
0.023438 1.757812 -1.250000 -84.804688 -125.343750 -99.656250 -113.484375 -120.382812 -0.101562 1.859375 -2.765625 -90.429688 -73.523438 -70.117188 -56.328125 -22.937500 -0.320312 3.015625 -6.351562 -98.187500 -149.539062 -99.937500 -158.140625 -110.164062,l
0.101562 1.523438 -0.859375 -68.226562 -112.437500 -117.914062 -118.804688 -90.421875 0.000000 0.265625 3.210938 -56.070312 -71.515625 -32.695312 -41.640625 -98.031250 -0.539062 4.117188 -15.484375 -70.500000 -143.578125 -138.585938 -87.679688 -116.929688,l
-0.007812 1.621094 -1.468750 -75.375000 -126.796875 -100.554688 -88.929688 -99.609375 -0.031250 0.890625 -1.722656 -39.804688 -26.398438 -85.117188 -91.410156 -74.402344 -0.589844 5.363281 -18.089844 -123.703125 -104.781250 -99.738281 -126.218750 -105.300781,l
-0.097656 2.429688 -6.519531 -73.625000 -93.929688 -91.054688 -126.214844 -121.968750 0.082031 -0.363281 7.230469 -57.167969 -98.664062 -80.453125 -84.550781 -113.976562 -0.351562 2.386719 -6.300781 -68.718750 -127.777344 -111.871094 -108.453125 -123.953125,l
0.039062 0.742188 1.187500 -50.453125 -112.109375 -135.054688 -99.468750 -101.437500 -0.031250 0.437500 1.859375 -63.367188 -78.351562 -114.929688 -77.523438 -70.765625 -0.398438 3.343750 -10.179688 -88.703125 -110.554688 -118.187500 -128.804688 -140.015625,l
-0.054688 2.687500 -4.781250 -105.484375 -117.234375 -97.398438 -94.828125 -99.781250 0.007812 0.570312 5.093750 -87.125000 -107.265625 -60.398438 -98.875000 -103.109375 -0.359375 2.890625 -7.023438 -89.781250 -130.304688 -136.507812 -118.867188 -76.593750,l
-0.109375 1.460938 -1.851562 -59.648438 -106.296875 -88.812500 -117.218750 -96.234375 0.031250 -1.039062 7.710938 -31.515625 -86.054688 -113.312500 -73.218750 -59.445312 -0.281250 2.593750 -3.976562 -97.742188 -143.210938 -81.085938 -100.781250 -102.671875,l
0.187500 1.035156 0.375000 -43.281250 -113.218750 -107.187500 -94.863281 -104.816406 0.191406 -0.398438 9.218750 -77.292969 -97.531250 -58.917969 -65.769531 -51.937500 -0.503906 4.257812 -15.984375 -77.781250 -87.953125 -111.289062 -93.937500 -103.183594,l
